minutes	A1	A2	A3	B1	B2	B3	C1	C2	C3	X1	X2	X3	Y1	Y2	Y3
25.8	6.966174	6.942433	6.914520	6.820332	6.888762	6.871837	7.003968	6.990406	7.258099	6.845569	6.835368	7.265361	6.934102	6.906680	6.986950
25.9	6.972481	6.952052	6.935526	6.817612	6.891848	6.867563	6.996770	6.989531	7.174454	6.845470	6.833593	7.334877	6.937351	6.900720	6.962846
26	6.963610	6.964988	6.977092	6.815470	6.903530	6.884162	6.997631	6.988671	7.120182	6.846999	6.833910	7.336918	6.938638	6.888151	6.956689
26.1	6.958110	6.968707	7.051345	6.808283	6.905821	6.897295	7.000704	6.983609	7.105659	6.838019	6.832240	7.261314	6.944896	6.886074	6.947736
26.2	6.962299	6.968775	7.166638	6.806571	6.897276	6.903532	6.990058	6.982015	7.120185	6.840083	6.837927	7.136129	6.947476	6.891184	6.932640
26.3	6.968691	6.973156	7.280897	6.807175	6.895832	6.885861	6.995289	6.985306	7.129808	6.847551	6.847423	7.039788	6.937749	6.905638	6.913753
26.4	6.964464	6.971525	7.341552	6.815167	6.898228	6.876505	6.987549	6.997335	7.126971	6.844047	6.851543	6.976284	6.952199	6.901415	6.920686
26.5	6.964076	6.961049	7.359450	6.816169	6.890301	6.878251	6.990413	6.995580	7.085254	6.836746	6.848865	6.948017	6.949299	6.887104	6.930314
26.6	6.961964	6.961084	7.308688	6.813462	6.891061	6.874767	6.991769	6.993747	7.062963	6.844349	6.859120	6.948773	6.946153	6.887915	6.960194
26.7	6.975318	6.962308	7.239422	6.816091	6.890614	6.870649	6.988201	6.992052	7.048182	6.839944	6.853955	6.945719	6.941816	6.887566	6.976261
26.8	6.974917	6.970404	7.089426	6.819705	6.887625	6.871838	6.975488	6.992259	7.031610	6.834563	6.852758	6.941790	6.946176	6.875661	6.965869
26.9	6.971998	6.974885	7.040559	6.821940	6.888918	6.867239	6.972743	6.993091	7.036472	6.826239	6.848885	6.934068	6.944551	6.873244	6.964991
27	6.971202	6.968014	7.014293	6.825670	6.890034	6.876214	6.979711	7.002783	7.048280	6.833499	6.849081	6.924735	6.950659	6.873435	6.954269
27.1	6.970933	6.968159	6.985399	6.833471	6.884140	6.877313	6.983678	7.020222	7.092026	6.832767	6.853510	6.893462	6.947615	6.885227	6.932071
27.2	6.973289	6.973887	6.982729	6.834276	6.891744	6.868417	6.979311	7.025394	7.116369	6.836990	6.853133	6.889992	6.942177	6.876921	6.907516
27.3	6.973456	6.975305	6.980729	6.834259	6.887246	6.867380	6.975435	7.027386	7.135051	6.838728	6.844166	6.899799	6.939685	6.883130	6.889723
27.4	6.973980	6.979086	6.947279	6.825916	6.887003	6.867380	6.980564	7.020723	7.131504	6.834892	6.842475	6.930564	6.939196	6.879921	6.876339
27.5	6.970820	6.975103	6.942593	6.825391	6.893311	6.870697	6.983570	7.003692	7.101367	6.834636	6.848382	6.962320	6.938142	6.889906	6.883583
27.6	6.970820	6.963099	6.931965	6.835917	6.886101	6.878902	6.974708	6.993474	7.071789	6.850134	6.845080	6.971289	6.940920	6.890737	6.890643
27.7	6.969731	6.966052	6.914309	6.836349	6.882716	6.882877	6.981565	6.986302	7.060291	6.842329	6.838267	6.985027	6.933544	6.895194	6.902118
27.8	6.969726	6.971935	6.909083	6.831656	6.890516	6.887635	6.982616	6.979119	7.056189	6.836707	6.838375	6.967787	6.944882	6.898391	6.909690
27.9	6.976926	6.973808	6.931916	6.831834	6.893204	6.905854	6.979019	6.978055	7.058150	6.842468	6.848417	6.944882	6.933864	6.906751	6.916754
28	6.974557	6.966214	6.942318	6.835011	6.897836	6.914767	6.983067	6.978055	7.061788	6.844452	6.852024	6.925752	6.930378	6.878992	6.914944
28.1	6.973886	6.966461	6.969245	6.828306	6.899391	6.974457	6.975902	6.989499	7.066754	6.841214	6.845850	6.916587	6.933260	6.876240	6.917831
28.2	6.973607	6.957955	6.979212	6.826726	6.892448	7.056430	6.975909	6.988060	7.077435	6.840230	6.838560	6.906325	6.931698	6.890566	6.920902
28.3	6.975140	6.943143	6.991940	6.827796	6.903154	7.155280	6.980534	6.988410	7.087086	6.846887	6.845063	6.908698	6.933984	6.881570	6.925285
28.4	6.977943	6.944386	6.997241	6.825146	6.904852	7.252445	6.983885	6.999120	7.085440	6.850446	6.837661	6.917829	6.946907	6.879861	6.936822
28.5	6.981536	6.939113	6.989096	6.830093	6.899158	7.261584	6.978119	6.993820	7.072578	6.850446	6.844210	6.913762	6.948177	6.892998	6.928776
